Team,Season,Sum_WAR
OAK,2015,6.5
OAK,2016,7.3
OAK,2017,9.5
OAK,2018,14.7
OAK,2019,16.3
OAK,2020,4.7
OAK,2021,12.5
OAK,2022,8.4
PHI,2000,14.4
PHI,2001,13.5
PHI,2002,12.4
PHI,2003,13.8
PHI,2004,14.8
PHI,2005,15
PHI,2006,17.4
PHI,2007,19.6
PHI,2008,18.3
PHI,2009,17.3
PHI,2010,14
PHI,2011,13.2
PHI,2012,12
PHI,2013,7.8
PHI,2014,9.8
PHI,2015,7.3
PHI,2016,9
PHI,2017,7.9
PHI,2018,8.1
PHI,2019,11.8
PHI,2020,4.8
PHI,2021,14.5
PHI,2022,11.5
PIT,2000,14.3
PIT,2001,11.7
PIT,2002,11.9
PIT,2003,9
PIT,2004,10.6
PIT,2005,10.6
PIT,2006,11.7
PIT,2007,7.5
PIT,2008,6.1
PIT,2009,8.3
PIT,2010,7
PIT,2011,9
PIT,2012,12.2
PIT,2013,17.8
PIT,2014,18.4
PIT,2015,15.6
PIT,2016,9.3
PIT,2017,8.5
PIT,2018,9.6
PIT,2019,9.9
PIT,2020,3.7
PIT,2021,10.6
PIT,2022,7.7
SDN,2000,10.4
SDN,2001,13
SDN,2002,11.9
SDN,2003,11.2
SDN,2004,14
SDN,2005,10.5
SDN,2006,10.6
SDN,2007,7.9
SDN,2008,10.1
SDN,2009,10.3
SDN,2010,12.3
SDN,2011,8.9
SDN,2012,13.3
SDN,2013,9.2
SDN,2014,10.4
SDN,2015,9.2
SDN,2016,8.5
SDN,2017,5.5
SDN,2018,5.9
SDN,2019,7.3
SDN,2020,8.1
SDN,2021,15.7
SDN,2022,15.2
SEA,2000,18.4
SEA,2001,19.3
SEA,2002,14.7
SEA,2003,18.4
SEA,2004,13.9
SEA,2005,10.1
SEA,2006,13.6
SEA,2007,11.5
SEA,2008,11.1
SEA,2009,14.3
SEA,2010,8.3
SEA,2011,7
SEA,2012,8.3
SEA,2013,8.1
SEA,2014,14.6
SEA,2015,11.6
SEA,2016,17.4
SEA,2017,12.2
SEA,2018,11.7
SEA,2019,7.6
SEA,2020,5.1
SEA,2021,9.1
SEA,2022,13.6
SFN,2000,19.4
SFN,2001,24.5
SFN,2002,22.5
SFN,2003,16.5
SFN,2004,18.9
SFN,2005,8.4
SFN,2006,10.1
SFN,2007,7.9
SFN,2008,9.1
SFN,2009,10.4
SFN,2010,16
SFN,2011,10.2
SFN,2012,19.2
SFN,2013,15.6
SFN,2014,14.8
SFN,2015,15.5
SFN,2016,14.7
SFN,2017,9.2
SFN,2018,6.5
SFN,2019,6.5
SFN,2020,5.6
SFN,2021,14.6
SFN,2022,7
SLN,2000,14.9
SLN,2001,19
SLN,2002,16.2
SLN,2003,22.1
SLN,2004,25.1
SLN,2005,16.6
SLN,2006,15.9
SLN,2007,12.2
SLN,2008,18.8
SLN,2009,16.2
SLN,2010,18
SLN,2011,15
SLN,2012,16
SLN,2013,19
SLN,2014,11.4
SLN,2015,13.9
SLN,2016,10.2
SLN,2017,12.8
SLN,2018,11.4
SLN,2019,11.1
SLN,2020,4.6
SLN,2021,14.7
SLN,2022,20
TBA,2000,4.5
TBA,2001,3.8
TBA,2002,8.4
TBA,2003,8.7
TBA,2004,13.3
TBA,2005,12.1
TBA,2006,9.4
TBA,2007,13.7
TBA,2008,14.2
TBA,2009,21.8
TBA,2010,19.1
TBA,2011,16.5
TBA,2012,12.7
TBA,2013,12.8
TBA,2014,11.1
TBA,2015,12.2
TBA,2016,10.8
TBA,2017,10.8
TBA,2018,10
TBA,2019,10.9
TBA,2020,5.1
TBA,2021,13.2
TBA,2022,8.9
TEX,2000,8.8
TEX,2001,17
TEX,2002,17.6
TEX,2003,16.7
TEX,2004,12
TEX,2005,12.7
TEX,2006,10.8
TEX,2007,7.1
TEX,2008,13.4
TEX,2009,10.9
TEX,2010,16.7
TEX,2011,17.1
TEX,2012,14.9
TEX,2013,10.8
TEX,2014,11.3
TEX,2015,10.2
TEX,2016,12.7
TEX,2017,9.7
TEX,2018,7.7
TEX,2019,7.5
TEX,2020,2.3
TEX,2021,6.7
TEX,2022,12.5
TOR,2000,15.1
TOR,2001,9.7
TOR,2002,12.3
TOR,2003,10.9
TOR,2004,10.1
TOR,2005,7.7
TOR,2006,13.7
TOR,2007,11.3
TOR,2008,11.2
TOR,2009,11.7
TOR,2010,12.9
TOR,2011,14.3
TOR,2012,9.6
TOR,2013,12
TOR,2014,13.7
TOR,2015,18.4
TOR,2016,13.9
TOR,2017,10.6
TOR,2018,7.1
TOR,2019,5.9
TOR,2020,3.7
TOR,2021,17.6
TOR,2022,12.8
WAS,2005,10.4
WAS,2006,14.1
WAS,2007,10.7
WAS,2008,8.5
WAS,2009,10
WAS,2010,12.1
WAS,2011,10.4
WAS,2012,12.6
WAS,2013,12.8
WAS,2014,15.9
WAS,2015,13.4
WAS,2016,12.4
WAS,2017,13.9
WAS,2018,14.5
WAS,2019,16.7
WAS,2020,6.1
WAS,2021,10.5
WAS,2022,4.3
